ACCE_ABSORB_COST	Κόστος συνδυασμού: %d
CREATE_ERROR_WRONG_STRING	Αυτό το όνομα χαρακτήρα δεν επιτρέπεται.
CREATE_EXIST_SAME_NAME	Το όνομα είναι ήδη σε χρήση από άλλον παίκτη.
CREATE_FAILURE	Δεν μπορείς να δημιουργήσεις το χαρακτήρα.
CREATE_FULL	Δεν μπορείς να δημιουργήσεις άλλον χαρακτήρα.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Εισαγωγή ονόματος.
CREATE_PLUS_STAT	Έχεις κι άλλους πόντους κατάστασης.
CUBE_CATEGORY_ACCESSORY	Κοσμήματα
CUBE_CATEGORY_ARMOR	Πανοπλία
CUBE_CATEGORY_ARMOR_GLOVE	Γάντια
CUBE_CATEGORY_BELT	Ζώνες
CUBE_CATEGORY_ETC	Κλπ.
CUBE_CATEGORY_EVENT	Event
CUBE_CATEGORY_JOB	Κλάση
CUBE_CATEGORY_PET	Κατοικίδιο
CUBE_CATEGORY_SETADD_ARMOR	Δημιουργία πανοπλίας σετ
CUBE_CATEGORY_SETADD_HELMET	Δημιουργία κράνους σετ
CUBE_CATEGORY_SETADD_WEAPON	Δημιουργία όπλου σετ
CUBE_CATEGORY_WEAPON	Όπλο
CUBE_CATEGOR_SKILL_BOOK	Βιβλίο Ικανοτήτων
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Τουλάχιστον ένα από τα αντικείμενα που χρησιμοποιούνται είναι ιδιαίτερα πολύτιμο (έχει πάνω από %d μπόνους).
CUBE_MAKE_CONFIRM_QUESTION_2	Θέλεις στ' αλήθεια να συνεχίσεις;
CUBE_NOT_ENOUGH_GEM	Δεν έχεις αρκετό Gaya.
CUBE_NOT_ENOUGH_GOLD	Ανεπαρκή Yang για την κατασκευή.
CUBE_NOT_ENOUGH_MATERIAL	Ανεπαρκές υλικό για την κατασκευή.
CUBE_PLEASE_SELECT	Δεν επιλέχθηκαν αντικείμενα.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Υπόλοιπος χρόνος: {0} ~ {1} ώρες
CZ_REWARD_QUESTION_COMPLETE	Θέλεις να εξαργυρώσεις αυτό το πεδίο;
CZ_REWARD_TOOLTIP_10GAN	Ζωδιακά εμβλήματα
CZ_REWARD_TOOLTIP_10GAN_COUNT	Τεμάχια στον κατάλογο
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Απαιτούμενος αριθμός
CZ_REWARD_TOOLTIP_12ZI	Εμβλήματα φυλάκων
CZ_REWARD_TOOLTIP_12ZI_COUNT	Τεμάχια στον κατάλογο
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Απαιτούμενος αριθμός
CZ_REWARD_TOOLTIP_ALL_BOX	Αστρικός θησαυρός
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Κάνε κλικ εδώ, για να παραλάβεις τον αστρικό θησαυρό ως ανταμοιβή.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Κάνε κλικ εδώ, για να παραλάβεις τον θησαυρό Αβεντουρίνης ως ανταμοιβή.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Κάνε κλικ εδώ, για να παραλάβεις τον θησαυρό Αουρεολίνης ως ανταμοιβή.
CZ_REWARD_TOOLTIP_COMPLETABLE	Εξαργύρωση
CZ_REWARD_TOOLTIP_GREEN_BOX	Θησαυρός Αβεντουρίνης
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Εξαργυρωμένοι θησαυροί Αβεντουρίνης: %d
CZ_REWARD_TOOLTIP_WEEKLY	Ημέρα
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Παρασκευή
CZ_REWARD_TOOLTIP_WEEKLY_MON	Δευτέρα
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Σάββατο
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Σάββατο/Κυριακή
CZ_REWARD_TOOLTIP_WEEKLY_THU	Πέμπτη
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Τρίτη
CZ_REWARD_TOOLTIP_WEEKLY_WED	Τετάρτη
CZ_REWARD_TOOLTIP_YELLOW_BOX	Θησαυρός Αουρεολίνης
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Εξαργυρωμένοι θησαυροί Αουρεολίνης: %d
DAY	Μ
DETAILS_0	Δύν. εν. Metin
DETAILS_1	Δύν. εν. Ημιανθρώπων
DETAILS_2	Αντ. σε Ημιανθρώπους
DETAILS_3	Δύν. εν. σε Ορκ
DETAILS_4	Δύν. εν. σε Απέθαντ.
DETAILS_5	Δύναμη εν. σε τέρατα
DETAILS_6	Δύν. εν. ζωδ. τεράτ.
DETAILS_7	Δύν. εν. σε ζώα
DETAILS_8	Δύναμη εν. σε Εσώτ.
DETAILS_9	Δύν. εν. σε Διαβόλ.
DETAILS_10	Δύν. εν. τερ. ερήμου
DETAILS_11	Δύν. εν. εντόμων
DETAILS_12	Αξία επίθεσης
DETAILS_13	Αξία άμυνας
DETAILS_14	Μέση ζημιά
DETAILS_15	Μέση αντίσταση
DETAILS_16	Ζημιά Ικανοτήτων
DETAILS_17	Αντίσταση Ζημιάς Ικανοτήτ.
DETAILS_18	Μαγ. επίθ./εξ επαφ.
DETAILS_19	Μαγική επίθεση
DETAILS_20	Πιθ. κρίσιμου χτυπ.
DETAILS_21	Διατρητ. χτύπημα
DETAILS_22	Αντ. σε κρίσ. χτύπ.
DETAILS_23	Αντ. σε διατρ. χτύπ.
DETAILS_24	Αντίσταση Αστραπής
DETAILS_25	Αντίσταση στον πάγο
DETAILS_26	Αντ. στο σκοτάδι
DETAILS_27	Αντ. στη φωτιά
DETAILS_28	Αντ. στον άνεμο
DETAILS_29	Αντ. στη γη
DETAILS_30	Δύναμη αστραπών
DETAILS_31	Δύναμη πάγου
DETAILS_32	Δύναμη σκότους
DETAILS_33	Δύναμη φωτιάς
DETAILS_34	Δύναμη ανέμου
DETAILS_35	Δύναμη γης
DETAILS_36	Δύν. εν. σε Πολεμ.
DETAILS_37	Δύν. εν. σε Νίντζα
DETAILS_38	Δύν. εν. σε Sura
DETAILS_39	Δύν. εν. σε Σαμάνους
DETAILS_40	Δύν. εν. σε Λυκανούς
DETAILS_41	’μυνα εν. Πολεμιστ.
DETAILS_42	’μυνα εν. Νίντζα
DETAILS_43	’μυνα εν. Sura
DETAILS_44	’μυνα εν. Σαμάνων
DETAILS_45	’μυνα εν. Λυκανών
DETAILS_46	’μυνα Ξίφους
DETAILS_47	Δίχειρη ’μυνα
DETAILS_48	’μυνα Στιλέτου
DETAILS_49	’μυνα νυχιών
DETAILS_50	’μυνα Καμπάνας
DETAILS_51	’μυνα Βεντάλιας
DETAILS_52	’μυνα βέλους
DETAILS_53	Πιθαν. λιποθυμίας
DETAILS_54	Πιθαν. επιβράδυνσης
DETAILS_55	Πιθαν. δηλητηρίασης
DETAILS_56	Αντ. στο δηλητήριο
DETAILS_57	Επίθεση αιμορραγίας
DETAILS_58	Αντ. σε Επίθ. αιμορ.
DETAILS_59	Κλοπή Ζωής
DETAILS_60	Κλοπή SP
DETAILS_61	Επαναφορά HP
DETAILS_62	Επαναφορά SP
DETAILS_63	Μπλοκάρισμα Επίθεσης
DETAILS_64	Αποφυγή Βελών
DETAILS_65	Απόκ. Χτυπ. εξ επαφ.
DETAILS_66	Αναπλ. HP σε φόνο
DETAILS_67	Αναπλ. SP σε φόνο
DETAILS_68	Διπλάσια ΕΜΠ
DETAILS_69	Διπλάσια Yang
DETAILS_70	Πιθανότητα Ρίψης
DETAILS_71	Αξία επίθεσης
DETAILS_72	’μυνα
DETAILS_73	ΕΜΠ
DETAILS_74	Πιθανότητα Ρίψης
DETAILS_75	Διπλάσια Yang
DETAILS_76	Αντίσταση στη Μαγεία
DETAILS_77	Σπάσιμο Ξορκιού
DETAILS_78	Αντ. σε τέρατα
DETAILS_79	Μπόν. επίθ. μαγείας
DETAILS_ATTBONUS_BELL	Θραύση καμπάνας
DETAILS_ATTBONUS_BOW	Θραύση βέλους
DETAILS_ATTBONUS_CLAW	Θραύση νυχιών
DETAILS_ATTBONUS_DAGGER	Θραύση στιλέτου
DETAILS_ATTBONUS_FAN	Θραύση βεντάλιας
DETAILS_ATTBONUS_SWORD	Θραύση σπαθιού
DETAILS_ATTBONUS_TWOHAND	Θραύση δίχειρου
DETAILS_CATE_1	Ζημιά/’μυνα
DETAILS_CATE_2	Μπόνους στοιχείων
DETAILS_CATE_3	Μπόνους κλάσης
DETAILS_CATE_4	Μπόνους όπλων
DETAILS_CATE_5	’λλα μπόνους
DETAILS_CATE_6	Ειδικά μπόνους
DETAILS_HIT_PCT	Ακρίβεια
DETAILS_RESIST_MOUNT_FALL	Αντίσταση σε Πτώση
DETAILS_TITLE	Λεπτομέρειες
DETAILS_TOOLTIP_0	Δύναμη ενάντια σε λίθους Metin: Προκαλεί μεγαλύτερη ζημιά σε λίθους Metin.
DETAILS_TOOLTIP_1	Δύναμη ενάντια σε Ημιανθρώπους: Προκαλεί μεγαλύτερη ζημιά σε Ημιανθρώπους.
DETAILS_TOOLTIP_2	Αντίσταση σε Ημιανθρώπους: Μειώνει τη ζημιά που παθαίνεις από Ημιανθρώπους.
DETAILS_TOOLTIP_3	Δύναμη ενάντια σε Ορκ: Προκαλεί μεγαλύτερη ζημιά σε Ορκ.
DETAILS_TOOLTIP_4	Δύναμη ενάντια σε Απέθαντους: Προκαλεί μεγαλύτερη ζημιά σε απέθαντους.
DETAILS_TOOLTIP_5	Δύναμη ενάντια σε τέρατα: Προκαλεί μεγαλύτερη ζημιά σε τέρατα.
DETAILS_TOOLTIP_6	Δύναμη ενάντια σε ζωδιακά τέρατα: Προκαλεί μεγαλύτερη ζημιά σε ζωδιακά τέρατα.
DETAILS_TOOLTIP_7	Δύναμη ενάντια σε Τέρατα: Προκαλεί μεγαλύτερη ζημιά σε άγρια ζώα.
DETAILS_TOOLTIP_8	Δύναμη ενάντια σε Εσώτερους: Προκαλεί μεγαλύτερη ζημιά σε Εσώτερους.
DETAILS_TOOLTIP_9	Δύναμη ενάντια σε Διαβόλους: Προκαλεί μεγαλύτερη ζημιά σε διαβόλους.
DETAILS_TOOLTIP_10	Δύναμη ενάντια σε τέρατα ερήμου: Προκαλεί μεγαλύτερη ζημιά σε τέρατα ερήμου.
DETAILS_TOOLTIP_11	Δύναμη ενάντια σε έντομα: Προκαλεί μεγαλύτερη ζημιά σε έντομα.
DETAILS_TOOLTIP_12	Αυξάνει την αξία επίθεσής σου.
DETAILS_TOOLTIP_13	Αυξάνει την αξία άμυνάς σου.
DETAILS_TOOLTIP_14	Αυξάνει τη μέση ζημιά που προκαλείς στους αντιπάλους κατά την επίθεση.
DETAILS_TOOLTIP_15	Αντίσταση σε μέση ζημιά: Μειώνει τη ζημιά που παθαίνεις από μια μαγική επίθεση.
DETAILS_TOOLTIP_16	Αυξάνει τη ζημιά που προκαλεί μια ικανότητα.
DETAILS_TOOLTIP_17	Αντίσταση στη Ζημιά Ικανότητας: Μειώνει τη ζημιά που παθαίνεις από κάποια ικανότητα.
DETAILS_TOOLTIP_18	Αυξάνεται η φυσική και η μαγική Αξία επίθεσης.
DETAILS_TOOLTIP_19	Αυξάνει τη ζημιά που προκαλείς σε αντιπάλους μέσω μιας μαγικής επίθεσης.
DETAILS_TOOLTIP_20	Αυξάνει την πιθανότητα να πετύχεις ένα κρίσιμο χτύπημα.
DETAILS_TOOLTIP_21	Πιθανότητα διατρητικού χτυπήματος: Αυξάνει την πιθανότητα να πετύχεις ένα διατρητικό χτύπημα.
DETAILS_TOOLTIP_22	Αντίσταση σε κρίσιμο χτύπημα: Μειώνει τη ζημιά που προκαλείται από κρίσιμο χτύπημα.
DETAILS_TOOLTIP_23	Αντίσταση σε διατρητικό χτύπημα: Μειώνει τη ζημιά που προκαλείται από διατρητικό χτύπημα.
DETAILS_TOOLTIP_24	Μειώνει τη ζημιά που παθαίνεις από κάποια τέρατα.
DETAILS_TOOLTIP_25	Μειώνει τη ζημιά που παθαίνεις από κάποια τέρατα.
DETAILS_TOOLTIP_26	Αντίσταση στο σκοτάδι: Μειώνει τη ζημιά που παθαίνεις από κάποια τέρατα.
DETAILS_TOOLTIP_27	Μειώνει τη ζημιά που παθαίνεις από κάποια τέρατα.
DETAILS_TOOLTIP_28	Μειώνει τη ζημιά που παθαίνεις από κάποια τέρατα.
DETAILS_TOOLTIP_29	Μειώνει τη ζημιά που παθαίνεις από κάποια τέρατα.
DETAILS_TOOLTIP_30	Αυξάνει τη ζημιά που προκαλείς μέσω της δύναμης της αστραπής.
DETAILS_TOOLTIP_31	Αυξάνει τη ζημιά που προκαλείς μέσω της δύναμης του πάγου.
DETAILS_TOOLTIP_32	Αυξάνει τη ζημιά που προκαλείς μέσω της δύναμης του σκότους.
DETAILS_TOOLTIP_33	Αυξάνει τη ζημιά που προκαλείς μέσω της δύναμης της φωτιάς.
DETAILS_TOOLTIP_34	Αυξάνει τη ζημιά που προκαλείς μέσω της δύναμης του ανέμου.
DETAILS_TOOLTIP_35	Αυξάνει τη ζημιά που προκαλείς μέσω της δύναμης της γης.
DETAILS_TOOLTIP_36	Δύναμη ενάντια σε Πολεμιστές: Προκαλεί μεγαλύτερη ζημιά σε Πολεμιστές.
DETAILS_TOOLTIP_37	Δύναμη ενάντια σε Νίντζα: Προκαλεί μεγαλύτερη ζημιά σε Νίντζα.
DETAILS_TOOLTIP_38	Δύναμη ενάντια σε Sura: Προκαλεί μεγαλύτερη ζημιά σε Sura.
DETAILS_TOOLTIP_39	Δύναμη ενάντια σε Σαμάνους: Προκαλεί μεγαλύτερη ζημιά σε Σαμάνους.
DETAILS_TOOLTIP_40	Δύναμη ενάντια σε Λυκανούς: Προκαλεί μεγαλύτερη ζημιά σε Λυκανούς.
DETAILS_TOOLTIP_41	Πιθανότητα άμυνας ενάντια σε επιθέσεις πολεμιστών: Μειώνει τη ζημιά που αποκτάς από πολεμιστές.
DETAILS_TOOLTIP_42	Πιθανότητα άμυνας ενάντια σε επιθέσεις Νίντζα: Μειώνει τη ζημιά που αποκτάς από Νίντζα.
DETAILS_TOOLTIP_43	Πιθανότητα άμυνας ενάντια σε επιθέσεις Sura: Μειώνει τη ζημιά που αποκτάς από Sura.
DETAILS_TOOLTIP_44	Πιθανότητα άμυνας ενάντια σε επιθέσεις Σαμάνων: Μειώνει τη ζημιά που αποκτάς από Σαμάνους.
DETAILS_TOOLTIP_45	Πιθανότητα άμυνας ενάντια σε επιθέσεις Λυκανών: Μειώνει τη ζημιά που αποκτάς από Λυκανούς.
DETAILS_TOOLTIP_46	Μειώνει τη ζημιά που προκαλείται από ξίφος.
DETAILS_TOOLTIP_47	Μειώνει τη ζημιά που προκαλείται από δίχειρο όπλο.
DETAILS_TOOLTIP_48	Μειώνει τη ζημιά που προκαλείται από στιλέτο.
DETAILS_TOOLTIP_49	Μειώνει τη ζημιά που προκαλείται από νύχια.
DETAILS_TOOLTIP_50	Μειώνει τη ζημιά που προκαλείται από μια Καμπάνα.
DETAILS_TOOLTIP_51	Μειώνει τη ζημιά που προκαλείται από βεντάλια.
DETAILS_TOOLTIP_52	Μειώνει τη ζημιά που προκαλείται από τόξο και βέλος.
DETAILS_TOOLTIP_53	Αυξάνει την πιθανότητα να προκαλέσεις Λιποθυμία σε έναν αντίπαλο.
DETAILS_TOOLTIP_54	Αυξάνει την πιθανότητα να επιβραδύνεις έναν αντίπαλο.
DETAILS_TOOLTIP_55	Αυξάνει την πιθανότητα να δηλητηριάσεις έναν αντίπαλο.
DETAILS_TOOLTIP_56	Μειώνει τη ζημιά που προκαλείται από Δηλητήριο.
DETAILS_TOOLTIP_57	Αυξάνει την πιθανότητα να προκαλέσεις Επίθεση αιμορραγίας.
DETAILS_TOOLTIP_58	Αντίσταση σε Επίθεση αιμορραγίας: Μειώνει τη ζημιά που προκαλείται από Επίθεση αιμορραγίας.
DETAILS_TOOLTIP_59	Αφαιρεί HP από τον αντίπαλό σου όταν τον συναντάς.
DETAILS_TOOLTIP_60	Αφαιρεί SP από τον αντίπαλό σου όταν τον συναντάς.
DETAILS_TOOLTIP_61	Επιταχύνει την αναπλήρωση των HP σου.
DETAILS_TOOLTIP_62	Επιταχύνει την αναπλήρωση των SP σου.
DETAILS_TOOLTIP_63	Πιθανότητα απόκρουσης επίθεσης σώμα με σώμα: Αυξάνει την πιθανότητα να αποφύγεις μια επίθεση εξ επαφής.
DETAILS_TOOLTIP_64	Πιθανότητα να αποφύγεις βέλη: Αυξάνει την πιθανότητα να αποφύγεις βέλη ή μια επίθεση τέρατος εξ αποστάσεως.
DETAILS_TOOLTIP_65	Πιθανότητα ανάκλασης χτυπήματος εξ επαφής: Ένα ποσοστό της ζημιάς εξ επαφής επιστρέφει στον αντίπαλο.
DETAILS_TOOLTIP_66	Αναπλήρωση HP σε φόνο: Όταν σκοτώνεις έναν αντίπαλο, αυξάνονται οι HP σου.
DETAILS_TOOLTIP_67	Αναπλήρωση SP σε φόνο: Όταν σκοτώνεις έναν αντίπαλο, αυξάνονται οι SP σου.
DETAILS_TOOLTIP_68	Πιθανότητα να αποκτήσεις διπλάσια εμπειρία: Αυξάνει την πιθανότητα να αποκτήσεις μπόνους ΕΜΠ όταν νικήσεις έναν αντίπαλο.
DETAILS_TOOLTIP_69	Πιθανότητα για διπλάσια Yang: Αυξάνει την πιθανότητά σου να αποκτήσεις διπλάσια ποσότητα Yang.
DETAILS_TOOLTIP_70	Πιθανότητα Ρίψης αντικειμένων: Αυξάνει την πιθανότητα να αποκτήσεις διπλάσια αντικείμενα.
DETAILS_TOOLTIP_71	Αυξάνει την αξία επίθεσής σου.
DETAILS_TOOLTIP_72	Αυξάνει την αξία άμυνάς σου.
DETAILS_TOOLTIP_73	Αυξάνει τη συλλογή εμπειρίας.
DETAILS_TOOLTIP_74	Πιθανότητα εύρεσης αντικειμένων: Αυξάνει την πιθανότητά σου να βρεις αντικείμενα.
DETAILS_TOOLTIP_75	Πιθανότητα Ρίψης Yang: Αυξάνει την πιθανότητά σου να αποκτήσεις περισσότερα Yang.
DETAILS_TOOLTIP_76	Μειώνει τη ζημιά που παθαίνεις από μια μαγική επίθεση.
DETAILS_TOOLTIP_77	Μειώνει την αντίσταση σε μαγεία του αντιπάλου σου.
DETAILS_TOOLTIP_78	Η ζημιά από τέρατα μειώνεται.
DETAILS_TOOLTIP_79	Αυξάνει την Επίθεση Μαγείας σου.
DETAILS_TOOLTIP_ATTBONUS_BELL	Θραύση άμυνας καμπάνας: Μειώνει την άμυνα καμπάνας του αντιπάλου σου.
