ACCE_ABSORB_COST	Coûts de combi : %d
DETAILS_44	Déf. c. Chamanes
DETAILS_45	Déf. c. Lycans
DETAILS_46	Défense c. épée
DETAILS_47	Déf. c. deux mains
DETAILS_48	Défense c. dague
DETAILS_49	Défense c. griffes
DETAILS_50	Défense c. gong
DETAILS_51	Défense c. éventail
DETAILS_52	Défense c. flèches
DETAILS_53	Chance d'étourdir
DETAILS_54	Chance de ralentir
DETAILS_55	Chance d'empoisonner
DETAILS_56	Résistance poison
DETAILS_57	Attaque saignante
DETAILS_58	Rés. att. saignante
DETAILS_59	Vol de vie
DETAILS_60	Vol de PM
DETAILS_61	Restauration de PV
DETAILS_62	Restauration de PM
DETAILS_63	Bloquer une attaque
DETAILS_64	Éviter des flèches
DETAILS_65	R. d'att. de mêlée
DETAILS_66	Réc. de PV en tuant
DETAILS_67	Réc. de PM en tuant
DETAILS_68	Double d'EXP
DETAILS_69	Double de Yangs
DETAILS_70	Chance de butin
DETAILS_71	Valeur d'attaque
DETAILS_72	Défense
DETAILS_73	EXP
DETAILS_74	Chance de butin
DETAILS_75	Double de Yangs
DETAILS_76	Résistance magique
DETAILS_77	Anti-magie
DETAILS_78	Résist. aux monstres
DETAILS_79	Bonus d'attaque mag
DETAILS_ATTBONUS_BELL	Rupture de gong
DETAILS_ATTBONUS_BOW	Rupture de flèche
DETAILS_ATTBONUS_CLAW	Rupture de griffe
DETAILS_ATTBONUS_DAGGER	Rupture de dague
DETAILS_ATTBONUS_FAN	Rupture d'éventail
DETAILS_ATTBONUS_SWORD	Rupture d'épée
DETAILS_ATTBONUS_TWOHAND	Rupture d'épée à deux mains
DETAILS_CATE_1	Dégâts/Défense
DETAILS_CATE_2	Bonus élémentaires
DETAILS_CATE_3	Bonus de classe
DETAILS_CATE_4	Bonus d'arme
DETAILS_CATE_5	Autres bonus
DETAILS_CATE_6	Bonus spéciaux
DETAILS_HIT_PCT	Précision
DETAILS_RESIST_MOUNT_FALL	Résistance aux chutes
DETAILS_TITLE	Détails
DETAILS_TOOLTIP_0	Fort contre les pierres Metin : infligez plus de dégâts aux pierres Metin.
DETAILS_TOOLTIP_1	Fort contre les demi-humains : les demi-humains subissent des dégâts plus importants.
DETAILS_TOOLTIP_2	Résistance contre les demi-humains : les dégâts infligés par les demi-humains sont réduits.
DETAILS_TOOLTIP_3	Fort contre les orcs : les orcs subissent des dégâts plus importants.
DETAILS_TOOLTIP_4	Fort contre les morts-vivants : les morts-vivants subissent des dégâts plus importants.
DETAILS_TOOLTIP_5	Fort contre les monstres : les monstres subissent des dégâts plus importants.
DETAILS_TOOLTIP_6	Fort contre les monstres du zodiaque : les monstres du zodiaque subissent des dégâts plus importants.
DETAILS_TOOLTIP_7	Fort contre les animaux : les animaux sauvages subissent des dégâts plus importants.
DETAILS_TOOLTIP_8	Fort contre les mystiques : les mystiques subissent des dégâts plus importants.
DETAILS_TOOLTIP_9	Fort contre le mal : les démons subissent des dégâts plus importants.
DETAILS_TOOLTIP_10	Fort contre les monstres du désert : les monstres du désert subissent des dégâts plus importants.
DETAILS_TOOLTIP_11	Fort contre les insectes : les insectes subissent des dégâts plus importants.
DETAILS_TOOLTIP_12	Votre valeur d'attaque augmente.
DETAILS_TOOLTIP_13	Votre valeur de défense augmente.
DETAILS_TOOLTIP_14	Les dégâts moyens infligés aux ennemis à chaque attaque augmentent.
DETAILS_TOOLTIP_15	Résistance contre les dégâts moyens : les dégâts subis pour chaque attaque sont diminués.
DETAILS_TOOLTIP_16	Les dégâts infligés par une compétence augmentent.
DETAILS_TOOLTIP_17	Résistance contre les dégâts de compétence : les dégâts que vous subissez à cause d'une compétence sont réduits.
DETAILS_TOOLTIP_18	Les valeurs d'attaque physique et magique augmentent.
DETAILS_TOOLTIP_19	Les dégâts infligés aux ennemis à chaque attaque magique augmentent.
DETAILS_TOOLTIP_20	La chance d'effectuer un coup critique augmente.
DETAILS_TOOLTIP_21	Chances de coup perçant : les chances d'infliger un coup perçant augmentent.
DETAILS_TOOLTIP_22	Résistance contre les coups critiques : les dégâts infligés par un coup critique sont réduits.
DETAILS_TOOLTIP_23	Résistance contre les coups perçants : les dégâts infligés par un coup perçant sont réduits.
DETAILS_TOOLTIP_24	Les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_25	Les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_26	Résistance contre l'obscurité : les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_27	Les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_28	Les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_29	Les dégâts infligés par certains monstres sont réduits.
DETAILS_TOOLTIP_30	Les dégâts que vous infligez grâce au pouvoir de la foudre augmentent.
DETAILS_TOOLTIP_31	Les dégâts que vous infligez grâce au pouvoir de la glace augmentent.
DETAILS_TOOLTIP_32	Les dégâts que vous infligez grâce au pouvoir des ténèbres augmentent.
DETAILS_TOOLTIP_33	Les dégâts que vous infligez grâce au pouvoir du feu augmentent.
DETAILS_TOOLTIP_34	Les dégâts que vous infligez grâce au pouvoir du vent augmentent.
DETAILS_TOOLTIP_35	Les dégâts que vous infligez grâce au pouvoir de la terre augmentent.
DETAILS_TOOLTIP_36	Fort contre les Guerriers : les Guerriers subissent des dégâts plus importants.
DETAILS_TOOLTIP_37	Fort contre les Ninjas : les Ninjas subissent des dégâts plus importants.
DETAILS_TOOLTIP_38	Fort contre les Suras : les Sura subissent des dégâts plus importants.
DETAILS_TOOLTIP_39	Fort contre les Chamanes : les Chamanes subissent des dégâts plus importants.
DETAILS_TOOLTIP_40	Fort contre les Lycans : les Lycans subissent des dégâts plus importants.
DETAILS_TOOLTIP_41	Chance de parer une attaque Guerrier : les dégâts infligés par des Guerriers sont réduits.
DETAILS_TOOLTIP_42	Chance de parer une attaque Ninja : les dégâts infligés par des Ninjas sont réduits.
DETAILS_TOOLTIP_43	Chance de parer une attaque Sura : les dégâts infligés par des Suras sont réduits.
DETAILS_TOOLTIP_44	Chance de parer une attaque Chamane : les dégâts infligés par des Chamanes sont réduits.
DETAILS_TOOLTIP_45	Chance de parer une attaque Lycan : les dégâts infligés par des Lycans sont réduits.
DETAILS_TOOLTIP_46	Les dégâts infligés par une épée sont réduits.
DETAILS_TOOLTIP_47	Les dégâts infligés par une arme à deux mains sont réduits.
DETAILS_TOOLTIP_48	Les dégâts infligés par une dague sont réduits.
DETAILS_TOOLTIP_49	Les dégâts infligés par une griffe sont réduits.
DETAILS_TOOLTIP_50	Les dégâts infligés par un gong sont réduits.
DETAILS_TOOLTIP_51	Les dégâts infligés par un éventail sont réduits.
DETAILS_TOOLTIP_52	Les dégâts infligés par un arc et des flèches sont réduits.
DETAILS_TOOLTIP_53	La chance d'étourdir un ennemi augmente.
DETAILS_TOOLTIP_54	La chance de ralentir un ennemi augmente.
DETAILS_TOOLTIP_55	La chance d'empoisonner un ennemi augmente.
DETAILS_TOOLTIP_56	Les dégâts infligés par le poison sont réduits.
DETAILS_TOOLTIP_57	La chance d'effectuer une attaque saignante augmente.
DETAILS_TOOLTIP_58	Résistance contre les attaques saignantes : les dégâts infligés par une attaque saignante sont réduits.
DETAILS_TOOLTIP_59	Des PV sont retirés à votre ennemi quand vous le touchez.
DETAILS_TOOLTIP_60	Des PM sont retirés à votre ennemi quand vous le touchez.
DETAILS_TOOLTIP_61	La régénération de vos points de vie est accélérée.
DETAILS_TOOLTIP_62	La régénération de vos points de mana est accélérée.
DETAILS_TOOLTIP_63	Chance de bloquer un coup au corps à corps : les chances d'esquiver une attaque au corps à corps augmentent.
DETAILS_TOOLTIP_64	Chance d'éviter les flèches : les chances d'esquiver une flèche ou une attaque à distance d'un monstre augmentent.
DETAILS_TOOLTIP_65	Chance de renvoyer une attaque au corps à corps : une partie des dégâts au corps à corps est renvoyée à l'ennemi.
DETAILS_TOOLTIP_66	Récupération de PV en tuant : si vous tuez un ennemi, vos points de vie augmentent.
DETAILS_TOOLTIP_67	Récupération de PM en tuant : si vous tuez un ennemi, vos points de mana augmentent.
DETAILS_TOOLTIP_68	Chance d'obtenir le double de points d'expérience : les chances d'obtenir un bonus d'EXP en éliminant un ennemi augmentent.
DETAILS_TOOLTIP_69	Chance d'abandonner le double de Yangs : vos chances d'obtenir un double montant de Yangs augmentent.
DETAILS_TOOLTIP_70	Chance d'abandonner des objets : vos chances d'obtenir le double d'objets augmentent.
DETAILS_TOOLTIP_71	Votre valeur d'attaque augmente.
DETAILS_TOOLTIP_72	Votre valeur de défense augmente.
DETAILS_TOOLTIP_73	Les gains d'expérience sont augmentés.
DETAILS_TOOLTIP_74	Chance d'obtenir des objets : vos chances d'obtenir des objets en butin augmentent.
DETAILS_TOOLTIP_75	Chance d'obtenir des Yangs : vos chances d'obtenir des Yangs en butin augmentent.
DETAILS_TOOLTIP_76	Les dégâts que vous subissez à chaque attaque magique sont réduits.
DETAILS_TOOLTIP_77	La résistance magique de votre ennemi est réduite.
DETAILS_TOOLTIP_78	Les dégâts infligés par des montres sont réduits.
DETAILS_TOOLTIP_79	L'attaque magique augmente.
DETAILS_TOOLTIP_ATTBONUS_BELL	Rupture de la défense contre le gong : la défense contre le gong de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_BOW	Rupture de la défense contre les flèches : la défense contre les flèches de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Rupture de la défense contre les griffes : la défense contre les griffes de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Rupture de la défense contre la dague : la défense contre la dague de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_FAN	Rupture de la défense contre l'éventail : la défense contre l'éventail de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Rupture de la défense contre l'épée : la défense contre l'épée de l'adversaire diminue.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Rupture de la défense contre l'épée à deux mains : la défense contre l'épée à deux mains de l'adversaire diminue.
DETAILS_TOOLTIP_HIT_PCT	La chance de toucher un ennemi augmente.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Résistance à la chute : la probabilité de chuter de votre monture diminue.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Vous ne pouvez pas déplacer d'objets pendant une requête.
DO_NOT_INSERT_UPBRINGING_PET	Le familier actif ne peut pas être sélectionné.
DO_YOU_BUY_ITEM1	Voulez-vous acheter %s pour %s Yangs ?
DO_YOU_BUY_ITEM2	Voulez-vous acheter %s (%s unités) pour %s Yangs ?
DO_YOU_BUY_ITEM3	Souhaitez-vous acheter %s pour %s Wons et %s Yangs ?
DO_YOU_BUY_ITEM4	Souhaitez-vous acheter %s (%s unités) pour %s Wons et %s Yangs ?
DO_YOU_DROP_MONEY	Voulez-vous abandonner %d Yangs ?
DO_YOU_SELL_ITEM1	Voulez-vous vendre %s pour %s Yangs ?
DO_YOU_SELL_ITEM2	Voulez-vous vendre %s (%s unités) pour %s Yangs ?
DRAGON_GATE_AUTO_REINFORCE_QUESTION	
DRAGON_GATE_CLEAR	
DRAGON_GATE_CLEAR_NOT_ENOUGH_MAX_REINFORCE	
DRAGON_GATE_CLEAR_QUESTION	
DRAGON_GATE_CLEAR_SELECT	
DRAGON_GATE_CLEAR_TOOLTIP	
DRAGON_GATE_DEFENSE	
DRAGON_GATE_ENCHANT_DARK	
DRAGON_GATE_ENCHANT_EARTH	
DRAGON_GATE_ENCHANT_ELECTRIC	
DRAGON_GATE_ENCHANT_FIRE	
DRAGON_GATE_ENCHANT_ICE	
DRAGON_GATE_ENCHANT_WIND	
DRAGON_GATE_EXPERIENCE	
DRAGON_GATE_HEALTH	
DRAGON_GATE_ITEM_CLEAR	
DRAGON_GATE_ITEM_CLEAR_QUESTION	
DRAGON_GATE_MARK	
DRAGON_GATE_MASTER_STEP_CHECK	
DRAGON_GATE_MY_POINT_TOOLTIP	
DRAGON_GATE_NEED_POINT_TOOLTIP	
DRAGON_GATE_PAEWANG	
DRAGON_GATE_POINT_CLEAR	
DRAGON_GATE_POINT_CLEAR_NOT_ENOUGH_POINT	
DRAGON_GATE_POINT_CLEAR_QUESTION	
DRAGON_GATE_POWER	
DRAGON_GATE_REINFORCE_APPLY_DEFAULT_TOOLTIP	
DRAGON_GATE_REINFORCE_BONUS	
DRAGON_GATE_REINFORCE_BONUS_APPLY	
DRAGON_GATE_REINFORCE_COUNT_TOOLTIP	
DRAGON_GATE_REINFORCE_MAX	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY	
DRAGON_GATE_REINFORCE_NOT_BONUS_APPLY2	
DRAGON_GATE_REINFORCE_NOT_ENOUGH_POINT	
DRAGON_GATE_REINFORCE_QUESTION	
DRAGON_GATE_REINFORCE_RESULT	
DRAGON_GATE_REINFORCE_TOOLTIP	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE1	
DRAGON_GATE_REINFORCE_TOOLTIP_LINE2	
DRAGON_GATE_REINFORCE_TOOLTIP_TITLE	
DRAGON_GATE_RESIST_DARK	
DRAGON_GATE_RESIST_EARTH	
DRAGON_GATE_RESIST_ELECTRIC	
DRAGON_GATE_RESIST_FIRE	
DRAGON_GATE_RESIST_ICE	
DRAGON_GATE_RESIST_WIND	
DRAGON_GATE_STEP_CLEAR_INITIALIZE_FIRST	
DRAGON_GATE_STEP_CLEAR_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_QUESTION_2	
DRAGON_GATE_STEP_CLEAR_TOOLTIP	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_1	
DRAGON_GATE_STEP_CLEAR_WARNING_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_NOT_ENOUGH_POINT	
DRAGON_GATE_STEP_UPGRADE_QUESTION_1	
DRAGON_GATE_STEP_UPGRADE_QUESTION_2	
DRAGON_GATE_STEP_UPGRADE_TOOLTIP	
DRAGON_GATE_SUNGMA_HP	
DRAGON_GATE_SUNGMA_IMMUNE	
DRAGON_GATE_SUNGMA_MOVE	
DRAGON_GATE_SUNGMA_STR	
DRAGON_GATE_TOOLTIP_LINE1	
DRAGON_GATE_TOOLTIP_LINE2	
DRAGON_GATE_TOOLTIP_LINE3	
DRAGON_GATE_TOOLTIP_LINE4	
DRAGON_GATE_TOOLTIP_LINE5	
DRAGON_GATE_TOOLTIP_LINE6	
DRAGON_GATE_TOOLTIP_LINE7	
DRAGON_GATE_TOOLTIP_LINE8	
DRAGON_GATE_TOOLTIP_LINE9	
DRAGON_GATE_TOOLTIP_LINE10	
DRAGON_GATE_TOOLTIP_LINE11	
DRAGON_GATE_TOOLTIP_NOT_ENOUGH_REINFORCE	
DRAGON_GATE_TOOLTIP_TITLE	
DRAGON_GATE_TUGWI	
DRAGON_SOUL_CANNOT_REFINE	Vous ne pouvez pas raffiner cette pierre-dragon.
DRAGON_SOUL_CANNOT_REFINE_MORE	Cette pierre-dragon a déjà atteint le niveau le plus élevé.
DRAGON_SOUL_EQUIP_WARNING1	Il est difficile de dessertir une pierre-dragon.
DRAGON_SOUL_EQUIP_WARNING2	Souhaitez-vous tout de même continuer ?
DRAGON_SOUL_EXPIRED	Pierre-dragon vidée
DRAGON_SOUL_INVALID_DRAGON_SOUL	C'est la mauvaise pierre-dragon.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Ce n'est pas une pierre-dragon.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Ce n'est pas la bonne pierre-dragon.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Vous n'avez pas suffisamment de matériel pour un raffinage.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Votre %s\n requiert : %s %dx.
DRAGON_SOUL_NOT_ENOUGH_MONEY	Pas assez de Yangs pour modifier le bonus.
DRAGON_SOUL_NOT_MATCHED_SLOT	La pierre-dragon ne rentre pas dans cet emplacement.
DRAGON_SOUL_STEP_LEVEL1	Pureté : mate.
DRAGON_SOUL_STEP_LEVEL2	Pureté : claire.
DRAGON_SOUL_STEP_LEVEL3	Pureté : pure à la loupe.
DRAGON_SOUL_STEP_LEVEL4	Pureté : brillante.
DRAGON_SOUL_STEP_LEVEL5	Pureté : excellente.
DRAGON_SOUL_STRENGTH	Niveau : +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	La pierre-dragon risque d'être détruite.
DRAGON_SOUL_UNEQUIP_WARNING2	Souhaitez-vous tout de même continuer ?
DRAGON_SOUL_UNMATCHED_SLOT	C'est le mauvais emplacement.
DRAGON_SOUL_UNQUALIFIED	Vous ne pouvez pas encore utiliser l'alchimie des pierres-dragons.
DROP_ITEM_FAILURE_EQUIP_ITEM	Vous ne pouvez pas abandonner un objet équipé.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Vous ne pouvez pas abandonner d'objet pendant que votre magasin privé est ouvert.
DROP_MONEY_FAILURE_1000_OVER	Vous ne pouvez abandonner qu'un maximum de 999 Yangs.
DS_SYSTEM_MSG_1	Il vous faut %s %d fois.
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Merci de fermer toutes les fenêtres avant d'ouvrir l'enchère éclair.
ELEMENT_BUFF_DARK_TOOLTIP	Vous pouvez infliger des dégâts supplémentaires si la fleur puissante obscure vous influence.
ELEMENT_BUFF_EARTH_TOOLTIP	Vous pouvez infliger des dégâts supplémentaires si la fleur puissante terrestre vous influence.
ELEMENT_BUFF_ELECT_TOOLTIP	Vous pouvez infliger des dégâts supplémentaires si la fleur puissante foudroyante vous influence.
ELEMENT_BUFF_FIRE_TOOLTIP	Vous pouvez infliger des dégâts supplémentaires si la fleur puissante ardente vous influence.
ELEMENT_BUFF_ICE_TOOLTIP	Vous pouvez infliger des dégâts supplémentaires si la fleur puissante glaciale vous influence.
ELEMENT_BUFF_NONE_TOOLTIP	Vous pouvez infliger des dégâts supplémentaires si une fleur puissante vous influence.
ELEMENT_BUFF_WIND_TOOLTIP	Vous pouvez infliger des dégâts supplémentaires si une fleur puissante venteuse vous influence.
EMOTION_ALCOHOL	Santé !
EMOTION_ANGRY	Contrarié
EMOTION_ATTRACTIVE	Séduction
EMOTION_BANTER	Moqueur
EMOTION_BUSY	Stress
EMOTION_CALL	Appel
EMOTION_CELEBRATION	Fête
EMOTION_CHARGING	Batterie
EMOTION_CHEERS_1	Jubilation 1
EMOTION_CHEERS_2	Jubilation 2
EMOTION_CHEERUP	Jubilation
EMOTION_CHOOSE_ONE	Choisissez une cible.
EMOTION_CLAP	Applaudissements
EMOTION_CLAP_KISS	Bise
EMOTION_CONGRATULATION	Approbation
EMOTION_DANCE_1	Danse 1
EMOTION_DANCE_2	Danse 2
EMOTION_DANCE_3	Danse 3
EMOTION_DANCE_4	Danse 4
EMOTION_DANCE_5	Danse 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Sieste
EMOTION_EXERCISE	Échauffement
EMOTION_FORGIVE	Pardon
EMOTION_FRENCH_KISS	Baiser
EMOTION_HUNGRY	Faim
EMOTION_JOY	Joie
EMOTION_LETTER	Lettre d'amour
EMOTION_NOSAY	Sans voix
EMOTION_PUSH_UP	Pompes
EMOTION_SAD	Triste
EMOTION_SELFIE	Selfie
EMOTION_SHY	Rejet
EMOTION_SIREN	Sirène
EMOTION_SLAP	Gifle
EMOTION_SMH	Tour infernale de Sung Mahi
EMOTION_WEATHER_1	Soleil
EMOTION_WEATHER_2	Arc-en-ciel
EMOTION_WEATHER_3	Lune
EMOTION_WHIRL	Confusion
EMPIRE_A	Empire Shinsoo
EMPIRE_B	Empire Chunjo
EMPIRE_C	Empire Jinno
EMPIRE_SELECT_MODE	Sélectionner un empire
EQUIPMENT_ADDITIONAL_PAGE_ACTIVE	La page d'équipement bonus a été activée. Vous la trouverez dans la fenêtre d'équipement.
EQUIPMENT_ALREADY_USE_ITEM	Vous ne pouvez pas réutiliser ceci.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE	Vous ne pouvez pas changer de page d'équipement pendant que vous faites autre chose.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE_ITEM	Vous ne pouvez pas changer de page d'équipement tant que votre personnage est équipé d'un objet non autorisé.
EQUIPMENT_CHANGE_PAGE_COOLTIME_FAIL	Merci de réessayer dans 1 minute.
EQUIPMENT_CHANGE_PAGE_SUCCESS	La page d'équipement a changé.
EQUIPMENT_TITLE_NAME	Fenêtre d'équipement
EXCHANGE_CANNOT_GIVE	Cet objet ne peut pas être échangé.
EXCHANGE_CANT_EDIT_MONEY	Vous ne pouvez pas échanger cette somme pour le moment.
EXCHANGE_FAILURE_EQUIP_ITEM	Vous ne pouvez pas échanger un objet équipé.
EXCHANGE_MONEY	Somme
EXCHANGE_TITLE	Échanger avec %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Il vous faut encore %d extension(s) d'inventaire.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Votre inventaire ne peut plus accueillir de nouvelles extensions.
EXINVEN_USE_ITEM_QUESTION	Souhaitez-vous agrandir votre inventaire avec %d extensions d'inventaire ?
FISHING_FAILURE	Vous perdez l'appât.
FISHING_NOTIFY1	Il semble que %s ait mordu.
FISHING_NOTIFY2	Il semble que %s a/ont été attrapé(s).
FISHING_RENEWAL_CANNOT_EMOTION	Vous ne pouvez pas utiliser d'émotions pendant que vous pêchez.
FISHING_RENEWAL_CANNOT_OPEN_1	Vous ne pouvez pas l'ouvrir pendant que vous pêchez.
FISHING_RENEWAL_CANNOT_OPEN_2	Vous ne pouvez pas effectuer cette action pendant que vous pêchez.
FISHING_RENEWAL_QUESTION	Un poisson a mordu à l'hameçon. Voulez-vous le remonter ?
FISHING_RENEWAL_TIMEOUT	Vous avez hésité trop longtemps. Le poisson s'est enfui.
FISHING_SUCCESS1	Vous avez capturé %s!
FISHING_SUCCESS2	Vous avez tiré %s hors de l'eau !
FISHING_UNKNOWN	Ça a mordu, mais vous ignorez ce qu'il y a au bout de la ligne.
FISHING_WRONG_PLACE	Je ne peux pas pêcher ici.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM	Vous avez reçu des pousses de chrysanthème.
FLOWER_EVENT_GET_SHOOT_DAFFODIL	Vous avez reçu des pousses de narcisse.
FLOWER_EVENT_GET_SHOOT_ENVELOPE	Vous avez reçu des graines de fleurs.
FLOWER_EVENT_GET_SHOOT_LILY	Vous avez reçu des pousses de lys.
FLOWER_EVENT_GET_SHOOT_MAY_BELL	Vous avez reçu des pousses de muguet.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER	Vous avez reçu des pousses de tournesol.
FLOWER_EVENT_ITEM_FULL_AND_NOT_USE	Vous ne pouvez pas utiliser cet objet, car vous possédez déjà le nombre maximal de pousses autorisé.
FLOWER_EVENT_NOT_ENOUGH_EVENTORY_SPACE	Vous n'avez pas suffisamment de place dans l'inventaire.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_COUNT	Vous n'avez pas assez de pousses.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_ENVELOPE	Vous n'avez pas assez de graines de fleurs.
FLOWER_EVENT_USE_ITEM_TEXT1	Voulez-vous remplacer l'effet actif ?
FLOWER_EVENT_USE_ITEM_TEXT2	La tentative peut échouer et la fleur se fane.
FOR_FEMALE	pour Femme
FOR_MALE	pour Homme
FRAGMENT_COMB_COST	Coûts de fusion : %s
GAME_CANNOT_MINING	Vous ne pouvez pas extraire de minerai en étant à cheval.
GAME_CANNOT_PICK_ITEM	Vous ne pouvez pas ramasser cet objet, car vous ne l'avez pas gagné.
GAME_GUILDWAR_NOW_JOIN	Voulez-vous participer à la guerre de guilde ?
GAME_INIT_ERROR_CURSOR	Le curseur n'a pas pu être établi.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 doit être installé afin que le jeu fonctionne.\nInstallez DirectX 8.1 ou une version supérieure.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Aucune caractéristique graphique n'a été trouvée.\nVérifiez que votre carte VGA est correctement installée.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Les caractéristiques graphiques n'ont pas pu être établies.\nVérifiez que vous possédez bien une carte VGA.\nAutrement, vous pouvez activer l'accélération matérielle.\n(Placez le curseur Accélération matérielle sur Complète\nPanneau de configuration->Affichage->Paramètres->Avancés->onglet Dépannage)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La carte graphique de l'ordinateur ne supporte le mode fenêtre en Mode 32bit.\nPassez en Mode 16bit ou utilisez le mode plein écran.
GAME_INIT_ERROR_ITEM_PROTO	Pas de données d'objets.\nVeuillez réinstaller le jeu.
GAME_INIT_ERROR_MAIN_WINDOW	Mainframe n'a pu être établi.
GAME_INIT_ERROR_MOB_PROTO	Pas de données de monstres.\nVeuillez réinstaller le jeu.
GAME_INIT_ERROR_NETWORK	Les caractéristiques Network n'ont pu être établies.\nVérifiez votre installation internet.
GAME_PICK_MONEY	Vous avez reçu %d Yangs.
GEM_SYSTEM_ADD_SLOT	Objet requis : %s.\nSouhaitez-vous en utiliser %d pour ouvrir un emplacement supplémentaire ?
GEM_SYSTEM_BUY_ITEM	Souhaitez-vous acheter cet objet ?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Vous n'avez pas assez de : réinit. bourse aux Gayas.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Vous n'avez pas assez de Gayas.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Vous ne pouvez plus ajouter d'emplacements.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Ouvrez d'abord la bourse aux Gayas.
GEM_SYSTEM_PICK_GEM	[Gaya] Nombre de Gayas : %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Souhaitez-vous une réinitialisation ?
GIVEUP_QUESTION	Voulez-vous vraiment abandonner ?
GUILDBANK_CLEARBANK	Attention : l'entrepôt de guilde doit être vide !
GUILDBANK_DONT_MONEY_OUT	Vous n'avez aucun Yang dans la banque de guilde !
GUILDBANK_GOLD_IN	Versement
GUILDBANK_GOLD_OUT	Paiement
GUILDBANK_ITEM_IN	Entreposer
GUILDBANK_ITEM_OUT	Sortir
