ACCE_ABSORB_COST	Kombinálás ára: %d
MERCENARY_SPECIFICITY	Specializáció: %s
MERCENARY_SPECIFICITY_COLLECTOR	Begyûjtõ
MERCENARY_SPECIFICITY_EXPLAIN_GAIN	A zsoldosodnak 50%% esélye van egy specializáció megszerzésére, amikor eléri a(z) %d. szintet.
MERCENARY_SPECIFICITY_EXPLAIN_UP	Ha eléred a(z) %d. szintet, 50%% esélyed van megszerezni ezt: %s.
MERCENARY_SPECIFICITY_FIGHTER	Harcos
MERCENARY_SPECIFICITY_GRADE_LOWER	(Alap)
MERCENARY_SPECIFICITY_GRADE_MIDDLE	(Közepes)
MERCENARY_SPECIFICITY_GRADE_UPPER	(Fejlett)
MERCENARY_SPECIFICITY_LUCKY	Szerencsés ördög
MERCENARY_SPECIFICITY_NONE	Nincs
MERCENARY_SPECIFICITY_RESCUE	Megmentõ
MERCENARY_SPECIFICITY_SPY	Felderítõ
MERCENARY_TOOLTIP_CLOSE	Bezár
MERCENARY_TOOLTIP_DISPATCH	Kiküldve
MERCENARY_TOOLTIP_INJURE	Sebesült
MERCENARY_TOOLTIP_MANAGE	Zsoldosok kezelése
MERCENARY_TOOLTIP_MISSION	Bevetések
MERCENARY_TOOLTIP_MISSION_COMPLETE	Befejezve
MERCENARY_TOOLTIP_MISSION_DISPATCH	Kiküldve
MERCENARY_TOOLTIP_MISSION_END	Befejez
MERCENARY_TOOLTIP_MISSION_GIVEUP	Mégse
MERCENARY_TOOLTIP_MISSION_LOCKSLOT_1	A feloldásához %d feletti Bajnokszintre van szükséged.
MERCENARY_TOOLTIP_MISSION_LOCKSLOT_2	Ahogy egyre magasabb szintre jutsz, mindig jobb bevetéseket kapsz.
MERCENARY_TOOLTIP_MISSION_REFRESH	Bevetés megismétlése
MERCENARY_TOOLTIP_MISSION_WAIT	Elérhetõ
MERCENARY_TOOLTIP_POSSIBLE_MERCENARY	Elérhetõ zsoldosok
MERCENARY_UNDER_TREATMENT	A zsoldos gyógyul. (%02d óra %02d perc van hátra.)
MERCENARY_UNIQUE_1	Siker esélye: +%.1f%%
MERCENARY_UNIQUE_2	Siker esélye: +%.1f%%
MESSENGER_ADD_BLOCK_FRIEND	Hozzáadás
MESSENGER_ADD_FRIEND	Barát hozzáadása
MESSENGER_BLOCK	Blokkolt
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_1	%s felvett barátnak.
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND_2	Elfogadod?
MESSENGER_DO_YOU_DELETE	Töröl?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Szeretnéd a mobilszámot törölni?
MESSENGER_DO_YOU_MOVE	Folytatod?
MESSENGER_EMPTY_LIST	Üres
MESSENGER_FAMILY	Család
MESSENGER_FRIEND	Barátok
MESSENGER_GUILD	Céh
MESSENGER_INPUT_MOBILE_AUTHORITY_DESCRIPTION	Add meg a visszaigazoló számot, amely a telefonodra érkezett.
MESSENGER_INPUT_MOBILE_AUTHORITY_TITLE	Visszaigazoló szám megadása
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_1	Add meg a mobilszámot az sms küldéshez.
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_2	Szeretnéd megadni a számot most?
MESSENGER_INPUT_MOBILE_PHONE_NUMBER_TITLE	Mobilszám megadás
MESSENGER_SEND_MOBILE_MESSAGE_TITLE	Üzenet küldés
METIN_TEST	
MINIGAMEUI_CALENDAR	Rendezvény-naptár
MINIGAME_FISH_EVENT_ADD_ACCEPT	Szeretnéd ezt lerakni?
MINIGAME_FISH_EVENT_DROP_ACCEPT	Biztosan szeretnéd eldobni ezt a darabot?
MINIGAME_FISH_EVENT_REWARD_MSG	%s-t kaptál.
MINIGAME_FISH_EVENT_USE_ACCEPT	Fel szeretnéd használni ezt?
MINIMAP	Mini térkép megnyitása
MINIMAP_CANNOT_SEE	Nem jeleníthetõ meg a mini térkép.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Nem jeleníthetõ meg nagy térkép.
MINIMAP_DEC_SCALE	Kicsinyítés
MINIMAP_INC_SCALE	Nagyítás
MINIMAP_OBSERVER_COUNT	%d nézõ
MINIMAP_OPEN_INGAMEEVENT	Rendezvények
MINIMAP_SHOW_AREAMAP	Nagy térkép megnyitása
MINI_GAME_BNW_DONATE_QUESTION1	Szeretnél adományozni?
MINI_GAME_BNW_DONATE_QUESTION2	Az adományozás 15 Látók érméjébe kerül.
MINI_GAME_BNW_FONT	Arial:15
MINI_GAME_BNW_GAME_GIVEUP_MSG1	Tényleg szeretnéd megszakítani a játékot?
MINI_GAME_BNW_GAME_GIVEUP_MSG2	Ne feledd, hogy jutalmat kapsz, ha nyersz.
MINI_GAME_BNW_GAME_RESULT_DRAW	Döntetlen! %d Látók érméjét nyertél.
MINI_GAME_BNW_GAME_RESULT_LOSE	Vereség! %d Látók érméjét nyertél.
MINI_GAME_BNW_GAME_RESULT_SCORE	Pontszám: %d
MINI_GAME_BNW_GAME_RESULT_WIN	Gyõzelem! %d Látók érméjét nyertél.
MINI_GAME_BNW_NOT_ENOUGH_INVEN	Nincs elég hely a leltáradban.
MINI_GAME_BNW_NOT_ENOUGH_ITEM	Egy Tarot paklira van szükséged a játékhoz.
MINI_GAME_BNW_NOT_ENOUGH_YANG	Nincs elegendõ Yangod a játék elkezdéséhez.
MINI_GAME_BNW_RESULT_DRAW1	A számotok azonos.
MINI_GAME_BNW_RESULT_DRAW2	Döntetlen!
MINI_GAME_BNW_RESULT_LOSE1	A te számod kisebb.
MINI_GAME_BNW_RESULT_LOSE2	Vereség!
MINI_GAME_BNW_RESULT_WIN1	A te számod nagyobb.
MINI_GAME_BNW_RESULT_WIN2	Gyõzelem!
MINI_GAME_BNW_START_QUESTION	Egy Tarot paklira és 30.000 Yangra van szükséged a játékhoz. Szeretnél játszani a Látók párbajával?
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP1	Ha több %s-t teszel fel tétként, pont ugyanannyi ládát fogsz jutalmul kapni.
MINI_GAME_CATCHKING_CHALLENGE_TOOLTIP2	Maximum tét: %d Királypakli.
MINI_GAME_CATCHKING_HELP_MSG1	Ez sajnos most nem jött be! A te kártyád értéke kisebb.\nNem kapsz pontot. Válassz egy új kártyát a paklidból!
MINI_GAME_CATCHKING_HELP_MSG2	Szép volt! A kártyák értéke megegyezik.\nA köröd véget ért. Válassz egy új kártyát a paklidból!
MINI_GAME_CATCHKING_HELP_MSG3	Csak így tovább! A kártyád értéke magasabb.\nFordíts fel még egy kártyát!
MINI_GAME_CATCHKING_HELP_MSG4	A felfordított kártya körül volt egy [5]-ös.\nSajnos nem kapsz pontot. Most válaszd ki a Királyod [K]!
MINI_GAME_CATCHKING_POPUP_CATCH_FAIL	A király megszökött! Véget ért a játék. \nHa legalább 10 pontot elértél, most begyûjtheted a jutalmad.
MINI_GAME_CATCHKING_POPUP_REWARD_FAIL	Nem tudsz jutalmat begyûjteni.
MINI_GAME_CATCHKING_SEARCH_NUMBER5	Egy [5] kártya van a közelében.
MINI_GAME_CATCHKING_START_QUESTION	A játék ára a következõ: %d Yang és %s: %d darab\nSzeretnél most játszani?
MINI_GAME_CATCHKING_TOOLTIP_CARD1	Üti az alábbi kártyát: [1]
MINI_GAME_CATCHKING_TOOLTIP_CARD2	Üti az alábbi kártyákat: [1], [2]
MINI_GAME_CATCHKING_TOOLTIP_CARD3	Üti az alábbi kártyákat: [1], [2], [3]
MINI_GAME_CATCHKING_TOOLTIP_CARD4	Üti az alábbi kártyákat: [1], [2], [3], [4]
MINI_GAME_CATCHKING_TOOLTIP_CARD5	Üti az alábbi kártyákat: [1], [2], [3], [4], [5]\nHa van egy másik [5] a felfordított kártya körül,\nakkor véget ér a kör és nem kapsz pontot érte.
MINI_GAME_CATCHKING_TOOLTIP_CARD6	Üti az alábbi kártyát: [K]
MINI_GAME_CATCHKING_TOOLTIP_SCORE1	%s: 550 és felette
MINI_GAME_CATCHKING_TOOLTIP_SCORE2	%s: 400 és 549 között
MINI_GAME_CATCHKING_TOOLTIP_SCORE3	%s: 10 és 399 között
MINI_GAME_CATCHKING_TOOLTIP_SCORE4	10 bónusz pontot kapsz, ha minden kártyát felfordítasz egy vonalban.
MINI_GAME_GIVEUP_QUESTION	Tényleg szeretnéd megszakítani a játékot? Így nem fogsz jutalmat kapni.
MINI_GAME_NOTICE_1	Kattints a "Dobásra", hogy eldõljön, ki kezd.
MINI_GAME_NOTICE_2	Dobj a Yut pálcikákkal.
MINI_GAME_NOTICE_3	A számítógép dob a Yut pálcikákkal, hogy eldõljön, ki kezd.
MINI_GAME_NOTICE_4	Döntetlen lett, vagy a számítógép dobta a kisebb értéket. A számítógép kezd.
MINI_GAME_NOTICE_5	A tiéd volt a kisebb értékû dobás, ezért te kezdesz.
MINI_GAME_NOTICE_6	Ezt dobtad: %s. Lépj elõre %d mezõt.
MINI_GAME_NOTICE_7	Ezt dobtad: %s. Hátra kell lépned 1 mezõt.
MINI_GAME_NOTICE_8	Dobás: %s
MINI_GAME_NOTICE_9	Ez a számítógép köre.
MINI_GAME_NOTICE_10	Ez az! Kiütötted a számítógép korongját!
MINI_GAME_NOTICE_11	Pech! A számítógép kiütötte a korongod.
MINI_GAME_NOTICE_12	Yut vagy Mo dobásod volt, újra dobhatsz.
MINI_GAME_NOTICE_13	Vége a játéknak. Gyûjtsd be a jutalmad!
MINI_GAME_RUMI_DISCARD_QUESTION	Tényleg el akarod vetni ezt a kártyát?
MINI_GAME_RUMI_EXIT_QUESTION	Be akarod fejezni a játékot és begyûjteni a jutalmad?\nPontjaid és fennmaradó kártyáid le lesznek nullázva!
MINI_GAME_RUMI_START_QUESTION	A játékhoz %d Yang díjat kell fizetned. Szükséged lesz %d kártyaszettre is.\nEl akarod kezdeni a játékot?
MINI_GAME_YUTNORI_COM_WIN	Néha nyersz, és néha... vesztesz.
MINI_GAME_YUTNORI_PC_WIN	A gyõztes mindent visz!
MINI_GAME_YUTNORI_PC_WIN_SCORE	Pontszám: %d
MINI_GAME_YUTNORI_RETHROW_BUTTON	Dobás
MINI_GAME_YUTNORI_RETHROW_POPUP	Ördögi szerencse! Ismét te dobhatsz.
MINI_GAME_YUTNORI_SCORE_FONT	Tahoma:24b
MINI_GAME_YUTNORI_START_QUESTION	Szükséged van %d Yangra és %d Yut Nori táblára a Yut Nori játék indításához. \n Szeretnél játszani?
MINUTE	p
MISTS_ISLAND_BUFF_MSG_01	Energia +2
MISTS_ISLAND_BUFF_MSG_02	Tárgy dobás esélye +10%
MISTS_ISLAND_BUFF_MSG_03	Erõ, Intelligencia, Életerõ, Ügyesség +3
MISTS_ISLAND_BUFF_MSG_04	Yang dobás esélye +10%
MISTS_ISLAND_BUFF_MSG_05	Öltözék bónusz +3%
MISTS_ISLAND_INFO_01	A szinted túl alacsony.
MISTS_ISLAND_INFO_02	Nincs elegendõ Yang.
MISTS_ISLAND_INFO_03	Jelenleg nincs folyamatban levõ harc.
MISTS_ISLAND_MSG_01	%s megsemmisült %s által!
MISTS_ISLAND_MSG_02	%s elfoglalta: %s!
MISTS_ISLAND_MSG_03	%s megszállta: %s!
MISTS_ISLAND_MSG_04	%s támadja: %s!
MISTS_ISLAND_MSG_05	%s sikeresen fejlesztette a %s-t erre a szintre: %d.
MISTS_ISLAND_MSG_06	%s megjelent a csatamezõn!
MISTS_ISLAND_QUESTION_01	Szeretnéd elhagyni az öt szentély csatáját?
MISTS_ISLAND_QUESTION_02	Szeretnél a legutóbb megtámadott szentélyhez teleportálni? \n Költség: %s Yang
MISTS_ISLAND_TOOLTIP_01	[%s]
MISTS_ISLAND_TOOLTIP_02	Megszálló birodalom: %s
MISTS_ISLAND_TOOLTIP_03	Fejlesztési szint: +%d
MISTS_ISLAND_TOOLTIP_04	Megszállási bónusz: %s
MISTS_ISLAND_TOOLTIP_05	Szentélyek meghódítása
MISTS_ISLAND_TOOLTIP_06	1. A szentély elfoglalásához elõbb meg kell semmisíteni azt.
MISTS_ISLAND_TOOLTIP_07	2. Az a birodalom foglalja el a szentélyt, akinek a legtöbb harcosa van a közelben 1 perc leteltével.
MISTS_ISLAND_TOOLTIP_08	3. Ezt követõen 3 perc múlva a szentély megjelenik annak a birodalomnak a színében, aki elfoglalta azt.
MISTS_ISLAND_TOOLTIP_09	4. Minél tovább áll egy szentély egy birodalom irányítása alatt, annál nehezebb lesz elpusztítani.
MONETARY_UNIT0	Yang
MONETARY_UNIT1	tízezer
MONETARY_UNIT2	száz millió
MONEY_INPUT_DIALOG_SELLPRICE	Eladási ára:
MOUNT_UPGRADE_SYSTEM_BANN_WHILE_MOUNTING	Ezt nem tudod megtenni, míg a hátason ülsz.
MOUNT_UPGRADE_SYSTEM_CONQUEROR_LEVEL_MSG	Akkor növelheted a lovad szintjét, ha már elérted a Bajnokszintet.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_COST	Szükséged lesz %d Abrakra és %d Yangra.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_MSG_LEVEL	Szeretnéd megpróbálni a(z) %d. szintre fejleszteni a lovad?
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_POPUP_RETRY_COST	A lovad szintjének fejlesztéséhez szükséged lesz %d Abrakra, %d Gayára és %d Yangra.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_GEM_NOT_ENOUGH	Nincs nálad elég Gaya.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_FAIL	A ló szintjének fejlesztése sikertelen volt.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_PERCENT_SUCCESS	A ló szintje a(z) %d. szintre nõtt.
MOUNT_UPGRADE_SYSTEM_LEVEL_UP_RESULT_YANG_OR_FEED_NOT_ENOUGH	Nincs nálad elég Yang vagy Abrak.
MOUNT_UPGRADE_TOOLTIP_SKILL_NEXT_LEVEL	Következõ szint: %d (max. %d)
MOVE_CHANNEL_99	CH0
MOVE_CHANNEL_CANCEL	Mégse
MOVE_CHANNEL_NOTICE	Beléptél erre a csatornára: %d.
MOVE_CHANNEL_NOT_MOVE	Nem válthatsz csatornát.
MOVE_CHANNEL_SELECT	OK
MOVE_CHANNEL_TITLE	Csatornák
MOVE_ITEM_FAILURE_PRIVATE_SHOP	Nem mozdíthatsz el a tárgyakat, amíg a magán boltot nyitva van.
MUSIC_EMPTY_MUSIC_LIST	Nincs háttérzene.
MUSIC_METIN2_DEFAULT_THEMA	Metin2-Alap zene
MUSIC_NOT_SELECT_MUSIC	Nincs zene fájl kiválasztva
NEEFD_REST	Elõször pihenj.
NOT_YET_SUPPORT	Nem támogatott.
OPEN_THE_SPECIAL_ACTION_KIT	A(z) %s hozzá lett adva az érzelmekhez.
OPTION_PVPMODE_CANNOT_SET_GUILD_MODE	Nem aktiválhatod a céh módot, ha nem vagy céhtag.
OPTION_PVPMODE_NOT_SUPPORT	Nem használhatod a PvP-mód beállításait.
OPTION_PVPMODE_PROTECT	Legalább %d szintûnek kell lenned, hogy PvP módot változtathass.
OTHER_WORLD_DUNGEON_EXIT_QUESTION	Szeretnél kilépni a harcból?
OTHER_WORLD_EXCHANGE_COOLTIME	Kérjük, próbáld újra késõbb.
OTHER_WORLD_EXCHANGE_FAIL	Sajnos nem kaptál semmit a beváltáskor.
OTHER_WORLD_EXCHANGE_MAX_OVER_FAIL	Nem tudsz többet használni, mint a tárgyak maximális mennyisége.
OTHER_WORLD_EXCHANGE_WISP_TOOLTIP	Halálláng beváltása
OTHER_WORLD_GET_DEAD_SOUL	Kaptál %dx Halott lelket.
OTHER_WORLD_GET_HELL_GATE_KEY	Kaptál %dx Asmodeus kulcsot.
OTHER_WORLD_GET_LIFE_AND_DEATH_LIST	Kaptál %dx Fekete levelet.
OTHER_WORLD_GET_REINCARNATION_WATER	Kaptál %dx Életvizet.
OTHER_WORLD_GET_WISP	Kaptál %dx Halállángot.
OTHER_WORLD_INFO_BOARD_TYPE_EAST_REAPER_ROOM	Válaszd ki azt a Föld követét, akivel szeretnél megküzdeni.
OTHER_WORLD_INFO_BOARD_TYPE_NORTH_REAPER_ROOM	A kazamata ideje 1 perccel csökken minden alkalommal, amikor egy karakter meghal.
OTHER_WORLD_INFO_BOARD_TYPE_PARADISE	Az Életvíz nem elérhetõ.
OTHER_WORLD_INFO_BOARD_TYPE_SOUTH_REAPER_ROOM	Öld meg az összes szörnyet a megadott idõ alatt.
OTHER_WORLD_INFO_BOARD_TYPE_WEST_REAPER_ROOM	Gyõzd le az Éj követét anélkül, hogy meghalnál.
OTHER_WORLD_INFO_BOARD_TYPE_YEOMWANG_ROOM	Gyõzd le Asmodeust, mielõtt lejár az idõ.
PARTY_ANSWER_TIMEOVER	A meghívás el lett utasítva.
PARTY_BONUS_ATTACKER	Támadó érték: +%d	SA
PARTY_BONUS_BERSERKER	Támadósebesség: +%d	SA
PARTY_BONUS_BUFFER	Készség tartam: +%d	SA
PARTY_BONUS_DEFENDER	Védelem +%d%%	SA
PARTY_BONUS_EXP	Bónusz EXP: %d%%	SA
PARTY_BONUS_SKILL_MASTER	TP helyreállítás ölésenként +%d%%	SA
PARTY_BONUS_TANKER	Max. TP: +%d	SA
PARTY_BREAK_UP	Csoport felbontás
PARTY_DO_YOU_ACCEPT	 szeretne csatlakozni a csoportba.
PARTY_DO_YOU_JOIN	 meghívott téged, hogy csatlakozz egy csoporthoz. Elfogadod?
PARTY_EXP_DISTRIBUTION_MODE	EXP elosztás
PARTY_EXP_DISTRIBUTION_MODE_LEVEL	Szint függõ
PARTY_EXP_DISTRIBUTION_MODE_LEVEL_TOOLTIP	A magasabb szintû csoporttagok több EXP-et kapnak.
PARTY_EXP_DISTRIBUTION_MODE_PARITY	egyenletes
PARTY_EXP_DISTRIBUTION_MODE_PARITY_TOOLTIP	Minden csoporttag azonos mennyiségû EXP-t kap.
PARTY_HEAL_ALL_MEMBER	Mindent újratermelni
PARTY_INCREASE_AREA_150	A csoport hatótávolsága másfélszeresére növelve.	SNA
PARTY_INCREASE_AREA_200	A csoport hatótávolsága kétszeresére növelve.	SNA
PARTY_LEAVE	Csoport elhagyása
PARTY_LONGTIME_BONUS_EXP	Bónusz EXP a hosszú csoport játékért: +%d%%	SA
PARTY_MATCH_CANCEL	A %s csoport keresés meg lett szakítva.
PARTY_MATCH_FAIL_FULL_MEMBER	Nincs több tagnak hely a csoportodban.
PARTY_MATCH_FAIL_IMPOSSIBLE_MAP	Nem jelentkezhetsz erre a kazamatára.
PARTY_MATCH_FAIL_LEVEL	A szinted túl alacsony.
PARTY_MATCH_FAIL_MEMBER_NOT_CONDITION	%s nem felel meg a szükséges követelményeknek.
PARTY_MATCH_FAIL_NONE_MAP_INDEX	Kérlek, elõbb válassz kazamatát.
PARTY_MATCH_FAIL_NOT_LEADER	Csak a csoport vezetõje jelentkezhet.
PARTY_MATCH_FAIL_NO_ITEM	Nincs nálad elegendõ %s.
PARTY_MATCH_SEARCHING	Keresés
PARTY_MATCH_START	Jelentkeztél a csoportoddal erre a kazamatára: %s!
PARTY_MEMBER_OFFLINE	[Offline]
PARTY_RECALL_MEMBER	Csoporttag hívása
PARTY_REGEN_BONUS	Bónusz a TP- és MP-regenerálódáshoz: +%d%%	SA
PARTY_REQUEST_DENIED	Elutasították a kérésed.
PARTY_RK_CATEGORY_CZ_CHICKEN	You Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_COW	Chou Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_DOG	Xu Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_DRAGON	Chen Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_HORSE	Wu Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_MONKEY	Shen Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_MOUSE	Zi Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_PIG	Hai Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_RABBIT	Mao Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_SHEEP	Wei Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_SNAKE	Si Õrzõ ranglista
PARTY_RK_CATEGORY_CZ_TIGER	Yin Õrzõ ranglista
PARTY_SET_ATTACKER	Támadónak kinevez.
PARTY_SET_BERSERKER	Dühöngõnek kinevez.
PARTY_SET_BUFFER	Blokkolónak kinevez.
PARTY_SET_DEFENDER	Védõnek kinevez.
PARTY_SET_NORMAL	Beállítások visszaállítása
PARTY_SET_SKILL_MASTER	Készség mesternek kinevez.
PARTY_SET_TANKER	Tõrharcos beállítás.
PARTY_SKILL_ATTACKER	Alap támadóérték támadó +%.0f
PARTY_SKILL_BERSERKER	Támadó érték õrjöngõ +%.0f
PARTY_SKILL_BUFFER	Készség hossz Blokkoló +%.0f
PARTY_SKILL_DEFENDER	Védelem védõként +%.0f%%
PARTY_SKILL_HP_REGEN	TP regeneráció +%.0f%%
PARTY_SKILL_PARTY_AREA	Csoport hatósugár +%d%%
PARTY_SKILL_SKILL_MASTER	TP regeneráció készség mesterként +%.0f%%
PARTY_SKILL_SP_REGEN	MP regenerálódás +%.0f%%
PARTY_SKILL_TANKER	Max. TP közelharc +%.0f
PARTY_SKILL_WARP	Csoporttárs hívása lehetséges.
PASSIVE_ATTR_ADD_FAIL	Nem sikerült! A bónuszok nem kerültek át a Lélekereklyébe.
PASSIVE_ATTR_ADD_FAIL_MAX_ATTR	A Lélekereklyéhez nem adható több bónusz.
PASSIVE_ATTR_ADD_FAIL_NOT_ENOUGH_JOB_ITEM	Ehhez szükséged van a karakterosztályodnak megfelelõ Lélekereklyére.
PASSIVE_ATTR_ADD_SUCCESS	Siker! A bónuszok átkerültek a Lélekereklyébe.
PASSIVE_ATTR_CHARGE_FAIL_FULL_TIME	A Lélekereklye már fel van töltve.
PASSIVE_ATTR_CHARGE_FAIL_NOT_ENOUGH_JOB_ITEM	Egyetlen Lélekereklyét sem kell feltölteni.
PASSIVE_ATTR_CHARGE_QUESTION	Szeretnéd feltölteni a Lélekereklyét?
PASSIVE_ATTR_CHARGE_SUCCESS_MSG	Az ereklye ideje teljesen feltöltésre került.
PASSIVE_ATTR_CONTROL_FAIL_MSG	Ezt nem tudod megtenni aktiválás közben.
PASSIVE_ATTR_COOLTIME_FAIL_MSG	Kérjük, próbáld újra késõbb.
PASSIVE_ATTR_NOT_ENOUGH_SUB_ITEM	Szükséged van ehhez egy megfelelõ lélekre.
PASSIVE_JOB_ACTIVATE_FAIL_NOT_FOUND_ITEM	Ehhez szükséged van a karakterosztályodnak megfelelõ Lélekereklyére.
PASSIVE_JOB_DESTROY_POPUP	Ha eldobod a Lélekereklyét, megsemmisül. Biztos vagy benne?
PASSIVE_JOB_FIRST_ACTIVATE_POPUP1	Aktiválás után nem fogod tudni többé átadni az ereklyét.
PASSIVE_JOB_FIRST_ACTIVATE_POPUP2	A tárgyak el fognak veszni. Biztos vagy benne?
PASSIVE_JOB_LEFT_TIME	Hátralévõ idõ: %s
PASSIVE_JOB_MAX_TIME	Ereklye maximális ideje: %s
PASSWORD_TITLE	Raktár jelszó
PET_ATTR_CHANGE_DIALOG_TEXT	Szeretnéd most módosítani a házikedvenced tulajdonságait?\nA 'Kedvenc megbûvölõ' tárgy felhasználásra kerül.\nA folyamat lehet sikertelen is.
PET_ATTR_CHANGE_USE	Ez a mûvelet nem végezhetõ el, miközben a kedvenced pontértékeit módosítod.
PET_ATTR_DETERMINE_TYPE1	Kedvenc típus 1: ügyetlen. Nem különösen erõs.\nIdõvel fejlesztheted a készségeit.
PET_ATTR_DETERMINE_TYPE2	Kedvenc típus 2: kíváncsi. Nem különösen erõs.\nEgy hûséges társ, akinek idõvel fejlõdnek a képességei.
PET_ATTR_DETERMINE_TYPE3	Kedvenc típus 3: lelkes. Átlagosan erõs.\nIdõvel fejlesztheted készségeit.
PET_ATTR_DETERMINE_TYPE4	Kedvenc típus 4: bátor. Átlagosan erõs.\nEgy hûséges társ, akinek idõvel fejlõdnek a képességei.
PET_ATTR_DETERMINE_TYPE5	Kedvenc típus 5: vakmerõ. Erõs.\nIdõvel még tovább fejlesztheted készségeit.
PET_ATTR_DETERMINE_TYPE6	Kedvenc típus 6: legendás. Erõs.\nEgy hûséges társ, akinek készségei még tovább fognak fejlõdni idõvel.
PET_ATTR_DETERMINE_TYPE7	Kedvenc típus 7: Mitikus Nagy erõs.\nIdõvel eléri teljes potenciálját.
PET_ATTR_DETERMINE_TYPE8	Kedvenc típus 8: Briliáns Extrém erõs.\nEgy hûséges társ, akire mindig támaszkodhatsz.
PET_BAG_DESC	%s
PET_CANNOT_FEED_CUBEOPEN	Nem etetheted a kedvenced, amíg a fejlesztési ablak nyitva van.
PET_CAN_NOT_ATTRCHANGE_BECUASE_LIFE_TIME_END	Nem módosíthatod egy halott kis kedvenc pontértékeit.
PET_CAN_NOT_EGG_ITEM_USE	Nem nyithatod ki Inkubátorod képzés idején, sem amíg raktárad vagy magánboltod nyitva van.
PET_CAN_NOT_FEED_SPLIT_ITEM	Nem helyezhetsz felosztott tárgyakat ebbe az ablakba.
PET_CAN_NOT_FEED_TYPE	Nem etetheted ezzel a kedvenced. Próbálj valami mást.
PET_CAN_NOT_OPEN_EVOL_BUTTON	Házikedvencednek %d szintûnek kell lennie képzéséhez és a fejlõdésének következõ szintjére lépéséhez.
PET_CAN_NOT_OPEN_EVOL_BUTTON_EXP_LACK	Házikedvencednek 100% tapasztalatának kell lennie képzéséhez és a fejlõdésének következõ szintjére lépéséhez.
PET_CAN_NOT_OPEN_EVOL_BUTTON_LEVEL_MAX	Házikedvenced már elérte a legmagasabb fejlõdési szakaszt.
PET_CAN_NOT_OPEN_SHOP_BECAUSE_SUMMON	Nem nyithatsz saját boltot, amíg házikedvenced elõ van hívva.
PET_CAN_NOT_OPEN_SPECIAL_EVOL_BUTTON	Házikedvencednek %d nap idõsnek kell lennie képzéséhez és a fejlõdésének következõ szintjére lépéséhez.
PET_CAN_NOT_SUMMON_BECAUSE_LIFE_TIME_END	Nem hívhatod elõ házikedvenced, mert lejárt az ideje.
PET_CAN_NOT_USE_BAG	Nem használhatod a Szállító dobozt, mert már lejárt a házikedvenced ideje.
PET_EMPTY_SKILL_SLOT_USE_ITEM	Kedvencednek nincs készsége, amit vissza lehetne állítani.
PET_HATCHING_ACCEPT	Elõ akarod hívni "%s" házikedvenced?
PET_HATCHING_MONEY	Ár: %s
PET_HATCHING_WINDOW_OPEN_CAN_NOT_USE	Nem végezhetsz semmilyen más interakciót, amíg az Inkubátor nyitva van.
PET_INFORMATION_STAGE1	Fiatal
PET_INFORMATION_STAGE2	Vad
PET_INFORMATION_STAGE3	Szelídített
PET_INFORMATION_STAGE4	Hõsies
PET_INFO_EXP	Jelenlegi tapasztalat:
PET_INFO_ITEM_EXP	Jelenlegi tárgy EXP
PET_INFO_NEXT_EXP	Fennmaradó tapasztalat:
PET_INFO_NEXT_ITEM_EXP	Hátralévõ tárgy EXP
PET_MSG_NOT_ENOUGH_MONEY	Nincs elegendõ Yangod.
PET_NAME_CHANGE_ACCEPT	Meg akarod változtatni kedvenced nevét erre: %s?
PET_NAME_MIN	A megadott név túl rövid.
PET_REVIVE_FAIL_EMPTY_PET_SLOT	Nincs felélesztendõ házikedvenc.
PET_REVIVE_FAIL_NOT_ENOUGHT_MATERIAL	Nincs nálad elég anyag.
PET_REVIVE_UI_MATERIAL_COUNT	%d/%d
PET_SKILL_DELETE_QUESTION_DLG_MSG	Elérhetõk készségek.
PET_SKILL_DELETE_QUESTION_DLG_MSG1	A házikedvenc készség(ek) visszaállítása nem lehetséges.
PET_SKILL_DELETE_QUESTION_DLG_MSG2	Biztosan folytatod?
